Date,Cash,Equity,Positions,Market_Value,Total_Exposure,Drawdown
2017-03-31,81353.5319803772,99981.3721598206,1,18627.8401794434,0.186313107902407,-0.000186278401794407
2017-04-01,1e+05,118627.840179443,1,18627.8401794434,0.157027559055832,0
2017-04-02,1e+05,118627.840179443,1,18627.8401794434,0.157027559055832,0
2017-04-03,1e+05,118739.560493469,1,18739.5604934692,0.157820699483724,0
2017-04-04,1e+05,118818.940628052,1,18818.9406280518,0.158383339630692,0
2017-04-05,1e+05,118648.420089722,1,18648.4200897217,0.15717377505423,-0.00143512925993737
2017-04-06,1e+05,118604.319641113,1,18604.3196411133,0.156860388368724,-0.00180628598272326
2017-04-07,1e+05,118519.060493469,1,18519.0604934692,0.156253858378245,-0.00252384117378439
2017-04-08,1e+05,118519.060493469,1,18519.0604934692,0.156253858378245,-0.00252384117378439
2017-04-09,1e+05,118519.060493469,1,18519.0604934692,0.156253858378245,-0.00252384117378439
2017-04-10,1e+05,118857.159820557,1,18857.1598205566,0.158653966231618,0
2017-04-11,1e+05,119104.120986938,1,19104.1209869385,0.160398488554678,0
2017-04-12,1e+05,119127.639282227,1,19127.6392822266,0.160564243507848,0
2017-04-13,1e+05,118842.45892334,1,18842.4589233398,0.158549891125143,-0.00239390590298776
2017-04-14,1e+05,118842.45892334,1,18842.4589233398,0.158549891125143,-0.00239390590298776
2017-04-15,1e+05,118842.45892334,1,18842.4589233398,0.158549891125143,-0.00239390590298776
2017-04-16,1e+05,118842.45892334,1,18842.4589233398,0.158549891125143,-0.00239390590298776
2017-04-17,1e+05,118824.819641113,1,18824.8196411133,0.158424979713581,-0.00254197634518609
2017-04-18,1e+05,118433.800224304,1,18433.8002243042,0.15564644712398,-0.00582433314470861
2017-04-19,99095.2600933685,118178.939811386,1,19083.6797180176,0.161481222868264,-0.00796372257988659
2017-04-20,82828.2353053818,119057.28548391,2,36229.0501785278,0.304299312984287,-0.000590574939122866
2017-04-21,82538.0353077088,136170.655836884,3,53632.6205291748,0.393863275457969,0
2017-04-22,1e+05,153632.620529175,3,53632.6205291748,0.349096567802083,0
2017-04-23,1e+05,153632.620529175,3,53632.6205291748,0.349096567802083,0
2017-04-24,1e+05,153814.689735413,3,53814.6897354126,0.349867036938949,0
2017-04-25,1e+05,154187.5,3,54187.5,0.351438994730442,0
2017-04-26,84376.8924236298,154111.202764511,4,69734.3103408814,0.452493453363274,-0.000494834117479638
2017-04-27,81402.3808216171,168699.261471184,5,87296.8806495667,0.517470437560144,0
2017-04-28,1e+05,187325.261299133,5,87325.2612991333,0.466169168501447,0
2017-04-29,1e+05,187325.261299133,5,87325.2612991333,0.466169168501447,0
2017-04-30,1e+05,187325.261299133,5,87325.2612991333,0.466169168501447,0
2017-05-01,1e+05,186303.579566956,5,86303.5795669556,0.463241660560467,-0.00545405208615322
2017-05-02,1e+05,185196.761299133,5,85196.7612991333,0.460033753838286,-0.0113625892484467
2017-05-03,1e+05,185381.227401733,5,85381.2274017334,0.460571054569116,-0.0103778523191036
2017-05-04,1e+05,182330.380649567,5,82330.3806495667,0.451545048917564,-0.026664212903942
2017-05-05,1e+05,185707.602165222,5,85707.6021652222,0.461519082503521,-0.00863556320537009
2017-05-06,1e+05,185707.602165222,5,85707.6021652222,0.461519082503521,-0.00863556320537009
2017-05-07,1e+05,185707.602165222,5,85707.6021652222,0.461519082503521,-0.00863556320537009
2017-05-08,118646.134730499,185972.733035248,4,67326.5983047485,0.36202403011407,-0.0072202128773529
2017-05-09,116570.173535572,166510.09442638,3,49939.9208908081,0.299921281426504,-0.111117778394629
2017-05-10,117277.765455841,151131.926466583,2,33854.1610107422,0.22400403278276,-0.193211180283657
2017-05-11,80376.9266280594,133691.036361641,3,53314.1097335816,0.398785970881131,-0.28631602895162
2017-05-12,80989.5688935852,153120.517627869,4,72130.9487342835,0.471073046589253,-0.182595467552261
2017-05-13,1e+05,172130.948734283,4,72130.9487342835,0.419046948062961,-0.0811119251054271
2017-05-14,1e+05,172130.948734283,4,72130.9487342835,0.419046948062961,-0.0811119251054271
2017-05-15,115312.172842979,172637.024127007,3,57324.8512840271,0.332054213595886,-0.0784103386284439
2017-05-16,118261.779571716,156577.268799011,2,38315.4892272949,0.24470658813495,-0.164142264032514
2017-05-17,80694.3134533691,138131.623889618,3,57437.3104362488,0.41581579090207,-0.262610803627599
2017-05-18,81291.4098159027,157437.680972214,4,76146.271156311,0.483659761031097,-0.159549118573993
2017-05-19,81182.8017893982,176569.520829315,5,95386.719039917,0.540221883096827,-0.0574174587838564
2017-05-20,1e+05,195386.719039917,5,95386.719039917,0.488194486854707,0
2017-05-21,1e+05,195386.719039917,5,95386.719039917,0.488194486854707,0
2017-05-22,1e+05,195308.070240021,5,95308.0702400208,0.487988387386622,-0.000402528893891567
2017-05-23,1e+05,196833.882160187,5,96833.8821601868,0.491957386083468,0
2017-05-24,1e+05,196204.679759979,5,96204.6797599793,0.490328160763893,-0.00319661632083984
2017-05-25,1e+05,195496.828559876,5,95496.8285598755,0.488482750658164,-0.00679280206048653
2017-05-26,1e+05,195953,5,95953,0.489673544166203,-0.00447525675213727
2017-05-27,1e+05,195953,5,95953,0.489673544166203,-0.00447525675213727
2017-05-28,1e+05,195953,5,95953,0.489673544166203,-0.00447525675213727
2017-05-29,1e+05,195953,5,95953,0.489673544166203,-0.00447525675213727
2017-05-30,119279.221137478,194549.459800198,4,75270.2386627197,0.386895130626537,-0.0116058390705827
2017-05-31,99137.3826555328,173742.763041885,4,74605.3803863526,0.429401369473829,-0.117312725151199
2017-06-01,1e+05,176605.657875061,4,76605.657875061,0.433766725238528,-0.102767999407052
2017-06-02,1e+05,176846.200965881,4,76846.2009658814,0.434536905775585,-0.101545938000852
2017-06-03,1e+05,176846.200965881,4,76846.2009658814,0.434536905775585,-0.101545938000852
2017-06-04,1e+05,176846.200965881,4,76846.2009658814,0.434536905775585,-0.101545938000852
2017-06-05,119199.981239014,176016.742538147,3,56816.7612991333,0.3227918008244,-0.105759940278465
2017-06-06,119092.388972549,158301.789943008,2,39209.400970459,0.247687666605508,-0.195759448496882
2017-06-07,118621.660030785,138224.04037899,1,19602.3803482056,0.141815998826678,-0.297762972197535
2017-06-08,82516.7540379334,119089.394418793,2,36572.6403808594,0.307102412933994,-0.394975127697396
2017-06-09,1e+05,138070.238952637,2,38070.2389526367,0.275730955790525,-0.298544348984222
2017-06-10,1e+05,138070.238952637,2,38070.2389526367,0.275730955790525,-0.298544348984222
2017-06-11,1e+05,138070.238952637,2,38070.2389526367,0.275730955790525,-0.298544348984222
2017-06-12,1e+05,137970.399047852,2,37970.3990478516,0.275206850961433,-0.299051578246224
2017-06-13,1e+05,138064,2,38064,0.27569822690926,-0.298576045522279
2017-06-14,1e+05,137514.879333496,2,37514.8793334961,0.272805964818661,-0.301365812509941
2017-06-15,1e+05,137065.600952148,2,37065.6009521484,0.270422342985156,-0.303648338142302
2017-06-16,1e+05,138581.921142578,2,38581.9211425781,0.278405154326614,-0.295944785411498
2017-06-17,1e+05,138581.921142578,2,38581.9211425781,0.278405154326614,-0.295944785411498
2017-06-18,1e+05,138581.921142578,2,38581.9211425781,0.278405154326614,-0.295944785411498
2017-06-19,120201.557822449,138686.497458679,1,18484.9396362305,0.133285791875579,-0.295413493161641
2017-06-20,1e+05,118109.460136414,1,18109.4601364136,0.153327769981317,-0.39995361144026
2017-06-21,80999.0577010689,117825.25835796,2,36826.2006568909,0.312549288413277,-0.401397477584314
2017-06-22,81497.045811348,137010.664967232,3,55513.6191558838,0.405177357318576,-0.303927436356053
2017-06-23,87542.715381321,155418.194175419,4,67875.4787940979,0.436728010862664,-0.21040934380933
2017-06-24,1e+05,167875.478794098,4,67875.4787940979,0.404320388431168,-0.147121029409571
2017-06-25,1e+05,167875.478794098,4,67875.4787940979,0.404320388431168,-0.147121029409571
2017-06-26,1e+05,167751.288105011,4,67751.288105011,0.403879391153165,-0.147751971032649
2017-06-27,117751.97057798,167304.501465584,3,49552.5308876038,0.296181695372956,-0.150021837554225
2017-06-28,1e+05,149502.669746399,3,49502.6697463989,0.331115623756888,-0.240462728745394
2017-06-29,82880.0974184189,149676.696566216,4,66796.5991477966,0.446272537276679,-0.239578598341082
2017-06-30,81241.9510246544,166856.04949725,5,85614.0984725952,0.513101555086299,-0.15230016465631
2017-07-01,1e+05,185614.098472595,5,85614.0984725952,0.461247821028184,-0.0570012823222208
2017-07-02,1e+05,185614.098472595,5,85614.0984725952,0.461247821028184,-0.0570012823222208
2017-07-03,1e+05,187601.797599793,5,87601.7975997925,0.466956067162383,-0.0469029237196117
2017-07-04,1e+05,187601.797599793,5,87601.7975997925,0.466956067162383,-0.0469029237196117
2017-07-05,1e+05,185442.5,5,85442.5,0.460749288863125,-0.0578730756878344
2017-07-06,1e+05,184184.098472595,5,84184.0984725952,0.457064964732126,-0.0642662917012273
2017-07-07,1e+05,183912.400436401,5,83912.4004364014,0.456262874266703,-0.0656466335062664
2017-07-08,1e+05,183912.400436401,5,83912.4004364014,0.456262874266703,-0.0656466335062664
2017-07-09,1e+05,183912.400436401,5,83912.4004364014,0.456262874266703,-0.0656466335062664
2017-07-10,118611.460054966,184022.470564457,4,65411.010509491,0.3554512136961,-0.0650874303505515
2017-07-11,118076.484998821,165582.123891949,3,47505.6388931274,0.286900770303728,-0.158772249600833
2017-07-12,93224.5235374756,147651.723397095,3,54427.1998596191,0.368618791622517,-0.249866324960592
2017-07-13,81060.079,154721.079,4,73661,0.476088975568739,-0.213950985968537
2017-07-14,1e+05,174057.159622192,4,74057.1596221924,0.425476089480838,-0.115715456546543
2017-07-15,1e+05,174057.159622192,4,74057.1596221924,0.425476089480838,-0.115715456546543
2017-07-16,1e+05,174057.159622192,4,74057.1596221924,0.425476089480838,-0.115715456546543
2017-07-17,1e+05,174329.521133423,4,74329.5211334229,0.426373689608973,-0.114331744005585
2017-07-18,117211.411839561,174559.893437462,3,57348.4815979004,0.328531832075425,-0.113161354530405
2017-07-19,119039.511239151,157948.220849136,2,38908.7096099854,0.246338384825169,-0.19755573016339
2017-07-20,1e+05,138672.280292511,2,38672.280292511,0.278875347047996,-0.295485722424267
2017-07-21,1e+05,138359.169219971,2,38359.1692199707,0.277243419689701,-0.297076460101663
2017-07-22,1e+05,138359.169219971,2,38359.1692199707,0.277243419689701,-0.297076460101663
2017-07-23,1e+05,138359.169219971,2,38359.1692199707,0.277243419689701,-0.297076460101663
2017-07-24,1e+05,137962.989902496,2,37962.9899024963,0.275167926770261,-0.299089219861956
2017-07-25,1e+05,138985.38892746,2,38985.3889274597,0.280499908863134,-0.293894997130875
2017-07-26,1e+05,139356.010097504,2,39356.0100975037,0.282413439290974,-0.292012083650856
2017-07-27,1e+05,139707.459609985,2,39707.4596099854,0.284218607373112,-0.290226570361047
2017-07-28,1e+05,140084.469707489,2,40084.469707489,0.286144993739774,-0.28831119840696
2017-07-29,1e+05,140084.469707489,2,40084.469707489,0.286144993739774,-0.28831119840696
2017-07-30,1e+05,140084.469707489,2,40084.469707489,0.286144993739774,-0.28831119840696
2017-07-31,119859.650567863,139553.390664909,1,19693.7400970459,0.141119753545321,-0.291009306256844
2017-08-01,119546.973072205,119546.973072205,0,0,0,-0.392650433145879
2017-08-02,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-03,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-04,1e+05,1e+05,0,0,0,-0.491957386083468
2017-08-05,1e+05,1e+05,0,0,0,-0.491957386083468
